타임스탬프,몇학년인가요?,"1.평소에 스트레칭을 하시나요?(스트레칭을 하시면 1-1,안하시면 1-2)",1-1 일주일에 스트레칭을 몇 번하나요? (1-1을 답변 하였다면 2번으로),1-2 스트레칭을 안하시는 이유는?(안한 사람만 해당되는 질문입니다. 질의 응답 후 2-1로.),2.스트레칭 한다면 어떤 변화 느껴지시나요?(1-1 질문을 작성한 사람에게 해당되는 질문입니다.),2-1스트레칭을 안하시면 평소 자신의 컨디션 혹은 건강상태는 어떤가요?,"스트레칭의 중요성,해야하는 이유 등 스트레칭에 대한 본인의 견해를 편하게 얘기해주세요.
ex)스트레칭을 해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 ~~이기 때문이다. 등 처럼 편하게 적어주시면 감사하겠습니다."
2024. 6. 10 오후 12:21:21,11,아니오,0,힘들어요,없음,괜찮아,저는 사실 해야할 이유를 모르겠어요
2024. 6. 10 오후 12:22:16,11,예,3,없음,"근육통이 사라져요, 스트레스 해소가 돼요, 미정이가 좋아해줘요","몸이 많이 뻐근해져요, 조금 기분도 저하 돼요
잘 안하는 이유 : 공부 때문에 할 시간이 부족해요, 또 안하다가 갑자기 하려면은 몸이 따라주지를 않아요 ( 오히려 근육통이 더 생겨요)",스트레칭을 해야하는 이유로는 굳어진 몸을 풀어줄 수 있으며 공부 하다가 잠시 몸을 가볍게 움직여 주면서 머리에 있던 스트레스도 풀어줄 수 있기 때문입니다.
2024. 6. 10 오후 12:45:36,11,아니오,0,시간 없음. 학업 문제로 인해,,변화 없음,스트레칭을 해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 피곤함을 없앨 수 있기 때문이다. 
2024. 6. 10 오후 12:45:39,11,예,7,없음,몸이 개운해지고 잠이 깸,없음,스트레칭을 하면 아침에 잠을 쉽게 깰수 있고 몸의 굳어 있는 근육을 풀어줄 수 있기 때문에 중요하다
2024. 6. 10 오후 12:47:23,11,예,3,없음,"건강해지는 느낌이 든데이, 마음이 평온해집니데이, 유연성 증가",,스트레칭을 해야하는 이유는 우리의 굳어진 몸을 풀 수 있고 마음을 안정시키고 평온하게 만들 수 있기 때문이다. 
2024. 6. 10 오후 12:51:50,12,예,4,없음,근육을 풀 수 있어서 장기간 앉아있어도 아프지가 않다.,,스트레칭을 해야하는 이유는 자신의 굳어진 몸을 풀 수 있고 집중력 향상에 도움이 되어 중요하다
2024. 6. 10 오후 12:55:33,11,아니오,0,귀찮아서,없음,좋을때도 있고 안좋을때도 있음,스트레칭을 하면 굳은 몸이 풀리고 아침에 일어날때 스트레칭을 하면 몸도 정신도 좋아지기 때문이다.
2024. 6. 10 오후 12:56:19,12,예,7,없음,기분이 개운하고 몸의 긴장이 완화되는 느낌,,급격한 움직임 전에 스트레칭을 하면서 부상을 방지 할 수 있습니다. 
2024. 6. 10 오후 1:02:24,11,아니오,1,까먹어서,없음,뻐근함,스트레칭하면 몸이 산쾌해지고 혈액 순환에 도움이 됨
2024. 6. 10 오후 1:04:19,40,예,7,없음,혈액순환,없음,혈액순환에 도움이 됩니다.
